country,year,attack_type,target_industry,financial_loss_in_million,number_of_affected_users,attack_source,security_vulnerability_type,defense_mechanism_used,incident_resolution_time_in_hours,severity_score
Brazil,2016,Man-in-the-Middle,Retail,72.78,11339,Hacker Group,Social Engineering,AI-based Detection,34,11411.78
UK,2017,SQL Injection,Banking,73.88,8385,Nation-state,Social Engineering,AI-based Detection,69,8458.88
Russia,2024,Ransomware,Banking,52.8,21810,Insider,Zero-day,VPN,48,21862.8
India,2018,Man-in-the-Middle,Healthcare,94.6,7347,Insider,Zero-day,AI-based Detection,7,7441.6
Germany,2021,SQL Injection,Education,1.62,61463,Hacker Group,Weak Passwords,Antivirus,58,61464.62
Russia,2020,DDoS,Healthcare,0.82,683572,Insider,Zero-day,Antivirus,69,683572.82
Germany,2015,Malware,Healthcare,90.91,654633,Nation-state,Weak Passwords,Antivirus,43,654723.91
Japan,2021,DDoS,Banking,32.84,311274,Hacker Group,Zero-day,Encryption,67,311306.84
Russia,2017,Malware,Education,63.33,185208,Unknown,Zero-day,Firewall,3,185271.33
Russia,2022,Man-in-the-Middle,Healthcare,27.82,182378,Insider,Social Engineering,AI-based Detection,10,182405.82
China,2016,Phishing,IT,7.73,800480,Unknown,Zero-day,VPN,31,800487.73
India,2019,DDoS,Banking,46.98,147761,Unknown,Unpatched Software,AI-based Detection,68,147807.98
Russia,2024,Ransomware,Banking,80.11,923911,Insider,Unpatched Software,Firewall,60,923991.11
Germany,2024,Ransomware,Education,11.81,418893,Insider,Social Engineering,Firewall,31,418904.81
Germany,2016,Ransomware,Education,15.09,914593,Unknown,Weak Passwords,AI-based Detection,1,914608.09
Japan,2015,SQL Injection,Banking,20.69,344789,Unknown,Zero-day,AI-based Detection,69,344809.69
India,2019,DDoS,Telecommunications,36.86,116906,Insider,Social Engineering,VPN,7,116942.86
Australia,2019,Phishing,Education,10.87,812343,Insider,Social Engineering,Antivirus,16,812353.87
China,2017,Malware,IT,18.17,346390,Hacker Group,Weak Passwords,Firewall,36,346408.17
Brazil,2018,Phishing,IT,13.89,30925,Insider,Zero-day,Encryption,43,30938.89
UK,2017,DDoS,Government,15.63,663812,Nation-state,Zero-day,Antivirus,57,663827.63
Brazil,2020,Man-in-the-Middle,Government,32.72,220978,Nation-state,Zero-day,VPN,47,221010.72
UK,2021,DDoS,Banking,97.03,100486,Nation-state,Unpatched Software,Firewall,31,100583.03
Russia,2023,SQL Injection,Education,75.63,195733,Nation-state,Weak Passwords,Antivirus,70,195808.63
Japan,2023,Man-in-the-Middle,Healthcare,64.21,707978,Nation-state,Weak Passwords,VPN,41,708042.21
Brazil,2018,Phishing,Healthcare,99.14,456432,Insider,Weak Passwords,Antivirus,66,456531.14
Brazil,2016,Man-in-the-Middle,IT,75.51,37230,Unknown,Social Engineering,AI-based Detection,52,37305.51
UK,2015,DDoS,Government,11.68,890414,Nation-state,Unpatched Software,AI-based Detection,28,890425.68
France,2021,Malware,IT,33.84,440358,Nation-state,Social Engineering,Antivirus,5,440391.84
India,2022,Malware,Healthcare,38.89,400752,Insider,Unpatched Software,Antivirus,36,400790.89
France,2018,Phishing,Banking,89.77,134364,Nation-state,Zero-day,Antivirus,63,134453.77
Germany,2017,DDoS,Telecommunications,15.01,406483,Insider,Weak Passwords,Antivirus,62,406498.01
Brazil,2018,SQL Injection,IT,98.38,661583,Insider,Social Engineering,Encryption,30,661681.38
Russia,2015,SQL Injection,Education,23.49,642834,Unknown,Weak Passwords,Antivirus,34,642857.49
Brazil,2017,Ransomware,IT,9.43,493087,Hacker Group,Unpatched Software,Encryption,44,493096.43
Brazil,2021,Man-in-the-Middle,IT,97.37,966570,Nation-state,Weak Passwords,Antivirus,32,966667.37
Russia,2022,Phishing,Telecommunications,73.26,687383,Nation-state,Weak Passwords,VPN,8,687456.26
Germany,2020,Phishing,Retail,78.84,733304,Unknown,Weak Passwords,VPN,19,733382.84
India,2023,Ransomware,Telecommunications,3.51,661681,Hacker Group,Weak Passwords,AI-based Detection,14,661684.51
France,2020,SQL Injection,IT,25.32,644538,Unknown,Social Engineering,Antivirus,57,644563.32
Germany,2015,Phishing,Banking,58.78,861637,Unknown,Social Engineering,VPN,15,861695.78
Brazil,2016,SQL Injection,Telecommunications,73.76,393189,Unknown,Zero-day,Antivirus,37,393262.76
France,2022,SQL Injection,Healthcare,27.06,999545,Hacker Group,Social Engineering,Encryption,47,999572.06
UK,2021,SQL Injection,IT,77.82,935572,Hacker Group,Social Engineering,Encryption,61,935649.82
France,2016,Ransomware,IT,55.99,724608,Hacker Group,Social Engineering,Antivirus,21,724663.99
Brazil,2024,DDoS,Banking,55.73,750979,Unknown,Social Engineering,AI-based Detection,30,751034.73
India,2017,Malware,Telecommunications,7.44,552358,Nation-state,Weak Passwords,AI-based Detection,42,552365.44
Australia,2019,Phishing,Banking,37.07,902654,Insider,Social Engineering,Antivirus,9,902691.07
UK,2022,Ransomware,Healthcare,75.67,413293,Hacker Group,Zero-day,Antivirus,27,413368.67
India,2024,Malware,Retail,56.19,114357,Insider,Zero-day,AI-based Detection,58,114413.19
USA,2018,Malware,Government,70.53,363432,Hacker Group,Zero-day,AI-based Detection,40,363502.53
Japan,2016,SQL Injection,Telecommunications,63.77,304618,Unknown,Unpatched Software,Antivirus,54,304681.77
India,2022,SQL Injection,IT,32.73,153154,Hacker Group,Zero-day,VPN,37,153186.73
China,2022,Malware,Banking,21.87,741153,Insider,Social Engineering,Encryption,66,741174.87
Japan,2024,Man-in-the-Middle,Healthcare,72.08,261230,Insider,Social Engineering,VPN,19,261302.08
UK,2023,SQL Injection,Telecommunications,53.82,688014,Unknown,Zero-day,Encryption,18,688067.82
Australia,2018,DDoS,Education,3.3,45027,Unknown,Social Engineering,Antivirus,68,45030.3
Australia,2021,Malware,Banking,13.99,689681,Nation-state,Weak Passwords,AI-based Detection,62,689694.99
Germany,2024,Malware,Government,93.49,702688,Hacker Group,Unpatched Software,Antivirus,39,702781.49
China,2016,Man-in-the-Middle,Banking,97.28,86038,Insider,Weak Passwords,Encryption,19,86135.28
Japan,2015,Malware,Education,17.19,899381,Insider,Unpatched Software,Firewall,66,899398.19
India,2023,Malware,IT,54.21,157667,Insider,Weak Passwords,VPN,34,157721.21
UK,2021,Malware,Government,64.28,643714,Nation-state,Weak Passwords,VPN,25,643778.28
USA,2023,Ransomware,Education,71.31,3607,Insider,Zero-day,AI-based Detection,7,3678.31
UK,2017,Phishing,Banking,52.31,259706,Hacker Group,Social Engineering,Antivirus,2,259758.31
India,2021,Man-in-the-Middle,Retail,40.94,698921,Insider,Weak Passwords,Firewall,72,698961.94
Brazil,2024,Ransomware,Government,32.21,482574,Nation-state,Unpatched Software,Firewall,22,482606.21
France,2017,DDoS,IT,20.44,618269,Nation-state,Weak Passwords,VPN,48,618289.44
Russia,2016,Ransomware,Government,59.66,854961,Unknown,Unpatched Software,AI-based Detection,7,855020.66
Brazil,2019,SQL Injection,Education,56.33,595157,Unknown,Zero-day,Encryption,41,595213.33
France,2016,SQL Injection,Government,2.24,813706,Hacker Group,Weak Passwords,VPN,54,813708.24
Brazil,2018,DDoS,Telecommunications,82.05,322527,Nation-state,Weak Passwords,Firewall,46,322609.05
China,2024,DDoS,Healthcare,11.92,557016,Unknown,Zero-day,Firewall,34,557027.92
UK,2017,DDoS,Healthcare,54.83,966668,Hacker Group,Weak Passwords,AI-based Detection,15,966722.83
France,2020,SQL Injection,Retail,36.17,813165,Nation-state,Unpatched Software,Antivirus,44,813201.17
France,2018,SQL Injection,Government,80.06,400807,Unknown,Weak Passwords,Firewall,67,400887.06
Brazil,2023,Man-in-the-Middle,Retail,74.85,549300,Hacker Group,Weak Passwords,Antivirus,26,549374.85
Brazil,2021,Ransomware,Government,74.01,956893,Unknown,Social Engineering,Antivirus,49,956967.01
India,2015,SQL Injection,Government,46.2,245370,Insider,Social Engineering,AI-based Detection,57,245416.2
Brazil,2017,Malware,IT,9.59,912731,Nation-state,Zero-day,Firewall,4,912740.59
USA,2017,Malware,Telecommunications,81.19,362085,Insider,Weak Passwords,VPN,5,362166.19
Germany,2022,SQL Injection,Telecommunications,42.8,862664,Hacker Group,Zero-day,Firewall,44,862706.8
China,2015,Ransomware,Telecommunications,32.65,313384,Insider,Social Engineering,Antivirus,51,313416.65
Russia,2018,Malware,Banking,17.99,593009,Unknown,Social Engineering,Firewall,27,593026.99
Germany,2023,SQL Injection,Banking,30.68,933754,Insider,Social Engineering,Firewall,36,933784.68
Japan,2015,DDoS,Government,82.12,55055,Hacker Group,Unpatched Software,VPN,44,55137.12
France,2020,SQL Injection,Education,94.63,481180,Hacker Group,Weak Passwords,AI-based Detection,10,481274.63
Russia,2020,Man-in-the-Middle,Banking,54.03,110260,Unknown,Weak Passwords,VPN,66,110314.03
USA,2020,DDoS,Government,10.54,741592,Insider,Social Engineering,VPN,69,741602.54
Russia,2020,Phishing,Education,34.41,928026,Unknown,Social Engineering,VPN,5,928060.41
Germany,2018,SQL Injection,Education,84.27,399014,Nation-state,Zero-day,Firewall,52,399098.27
China,2018,Ransomware,Retail,35.08,42831,Hacker Group,Social Engineering,Antivirus,42,42866.08
UK,2018,Man-in-the-Middle,Healthcare,45.11,545613,Insider,Unpatched Software,VPN,25,545658.11
Australia,2023,Man-in-the-Middle,Retail,92.57,813789,Nation-state,Unpatched Software,Antivirus,27,813881.57
UK,2015,Ransomware,Banking,13.49,345825,Hacker Group,Zero-day,AI-based Detection,6,345838.49
UK,2016,Phishing,Education,8.42,29671,Insider,Unpatched Software,Encryption,61,29679.42
Australia,2020,Phishing,Government,92.5,34011,Insider,Unpatched Software,Firewall,9,34103.5
USA,2018,SQL Injection,Banking,63.8,341383,Nation-state,Weak Passwords,Antivirus,9,341446.8
Japan,2020,Ransomware,Banking,40.86,565080,Unknown,Zero-day,Encryption,6,565120.86
Germany,2019,Malware,Banking,79.24,862136,Hacker Group,Zero-day,VPN,44,862215.24
Japan,2022,Man-in-the-Middle,Retail,37.15,241151,Hacker Group,Social Engineering,Antivirus,56,241188.15
India,2024,Man-in-the-Middle,Government,62.06,321158,Insider,Zero-day,VPN,37,321220.06
France,2023,Phishing,Education,31.03,472386,Nation-state,Zero-day,Encryption,24,472417.03
UK,2015,Man-in-the-Middle,Healthcare,82.54,34240,Insider,Weak Passwords,Encryption,45,34322.54
USA,2019,Malware,Government,34.4,98018,Insider,Zero-day,VPN,55,98052.4
Japan,2024,Phishing,Education,72.2,555808,Unknown,Weak Passwords,AI-based Detection,4,555880.2
UK,2021,SQL Injection,Healthcare,52.23,449333,Hacker Group,Unpatched Software,Encryption,39,449385.23
UK,2024,Man-in-the-Middle,Retail,7.16,368618,Nation-state,Social Engineering,Firewall,22,368625.16
France,2022,Man-in-the-Middle,IT,78.23,310175,Hacker Group,Unpatched Software,AI-based Detection,53,310253.23
UK,2020,Phishing,Retail,25.1,986980,Nation-state,Zero-day,VPN,71,987005.1
UK,2024,DDoS,Retail,88.54,518181,Insider,Zero-day,Antivirus,24,518269.54
India,2015,Phishing,Retail,49.51,72782,Unknown,Zero-day,Encryption,63,72831.51
Russia,2018,DDoS,Telecommunications,4.08,502842,Unknown,Zero-day,VPN,15,502846.08
UK,2024,Phishing,Retail,89.31,376586,Unknown,Weak Passwords,AI-based Detection,51,376675.31
Germany,2023,Phishing,Government,88.55,698597,Unknown,Social Engineering,Antivirus,66,698685.55
Russia,2015,SQL Injection,Education,5.26,559195,Insider,Weak Passwords,VPN,52,559200.26
India,2024,Ransomware,Retail,17.57,236253,Unknown,Social Engineering,Firewall,38,236270.57
Brazil,2016,DDoS,Healthcare,8.01,534847,Nation-state,Zero-day,Firewall,3,534855.01
Australia,2016,Malware,Retail,39.86,262611,Unknown,Social Engineering,Antivirus,33,262650.86
Brazil,2021,SQL Injection,Telecommunications,11.61,848702,Unknown,Weak Passwords,Antivirus,48,848713.61
Germany,2017,Man-in-the-Middle,Retail,73.98,609952,Hacker Group,Unpatched Software,VPN,7,610025.98
Germany,2022,Man-in-the-Middle,IT,65.86,978868,Insider,Weak Passwords,AI-based Detection,39,978933.86
Australia,2021,Ransomware,Retail,41.26,659734,Insider,Unpatched Software,Antivirus,54,659775.26
Japan,2022,DDoS,Retail,64.38,88354,Nation-state,Social Engineering,AI-based Detection,52,88418.38
Brazil,2022,Phishing,Banking,75.01,771434,Hacker Group,Social Engineering,AI-based Detection,38,771509.01
Australia,2016,SQL Injection,Banking,1.73,91560,Hacker Group,Weak Passwords,AI-based Detection,35,91561.73
UK,2021,Phishing,Healthcare,1.35,375292,Unknown,Unpatched Software,Firewall,48,375293.35
Japan,2015,SQL Injection,Retail,70.88,43366,Unknown,Weak Passwords,AI-based Detection,43,43436.88
India,2019,Ransomware,Telecommunications,32.08,429224,Unknown,Social Engineering,AI-based Detection,56,429256.08
Brazil,2017,Phishing,Healthcare,68.99,526227,Hacker Group,Weak Passwords,VPN,62,526295.99
Japan,2024,Man-in-the-Middle,Retail,9.77,621770,Insider,Unpatched Software,AI-based Detection,70,621779.77
India,2019,DDoS,Telecommunications,14.53,857688,Insider,Zero-day,Antivirus,55,857702.53
Brazil,2024,SQL Injection,Banking,33.06,644841,Insider,Weak Passwords,Antivirus,64,644874.06
Russia,2024,Man-in-the-Middle,IT,67.61,242847,Unknown,Unpatched Software,VPN,37,242914.61
China,2022,Man-in-the-Middle,IT,85.3,155225,Unknown,Weak Passwords,Antivirus,13,155310.3
Japan,2017,Man-in-the-Middle,Banking,79.68,712646,Nation-state,Unpatched Software,AI-based Detection,50,712725.68
UK,2022,Phishing,Government,61.87,298941,Unknown,Zero-day,Antivirus,13,299002.87
Russia,2018,Man-in-the-Middle,Telecommunications,4.92,783480,Insider,Zero-day,AI-based Detection,55,783484.92
Germany,2019,Phishing,Healthcare,99.97,950451,Hacker Group,Weak Passwords,AI-based Detection,29,950550.97
China,2018,Malware,Education,95.42,917848,Insider,Social Engineering,VPN,30,917943.42
Germany,2016,SQL Injection,Education,42.98,194633,Nation-state,Social Engineering,Antivirus,37,194675.98
Australia,2016,Malware,Telecommunications,68.42,778844,Unknown,Zero-day,Encryption,65,778912.42
France,2018,SQL Injection,Government,36.14,668774,Unknown,Social Engineering,Firewall,61,668810.14
France,2023,SQL Injection,Healthcare,69.76,824351,Unknown,Zero-day,Firewall,17,824420.76
UK,2020,Phishing,Healthcare,3.02,510974,Unknown,Weak Passwords,Encryption,16,510977.02
Australia,2021,Man-in-the-Middle,Healthcare,86.29,404595,Unknown,Social Engineering,AI-based Detection,3,404681.29
Germany,2022,SQL Injection,IT,6.31,742273,Hacker Group,Zero-day,AI-based Detection,67,742279.31
China,2016,Phishing,IT,27.46,973388,Nation-state,Zero-day,AI-based Detection,63,973415.46
China,2024,DDoS,Government,69.28,890675,Hacker Group,Unpatched Software,Firewall,5,890744.28
Germany,2022,SQL Injection,Education,68.96,710896,Nation-state,Zero-day,Firewall,18,710964.96
India,2023,SQL Injection,Retail,2.85,30883,Nation-state,Weak Passwords,AI-based Detection,51,30885.85
UK,2020,SQL Injection,Government,53.76,153355,Unknown,Zero-day,Encryption,57,153408.76
Japan,2020,DDoS,Healthcare,25.83,96706,Insider,Unpatched Software,Firewall,42,96731.83
Australia,2016,SQL Injection,IT,43.76,959797,Nation-state,Social Engineering,Antivirus,32,959840.76
China,2024,Phishing,Telecommunications,9.45,501864,Hacker Group,Unpatched Software,Encryption,12,501873.45
Japan,2024,Man-in-the-Middle,IT,63.57,358626,Unknown,Weak Passwords,VPN,26,358689.57
Japan,2017,Man-in-the-Middle,Healthcare,11.3,64472,Insider,Social Engineering,Firewall,43,64483.3
India,2023,DDoS,Education,82.11,23683,Hacker Group,Weak Passwords,Encryption,69,23765.11
USA,2017,Man-in-the-Middle,IT,5.21,22635,Unknown,Unpatched Software,AI-based Detection,8,22640.21
UK,2017,SQL Injection,Government,98.75,894933,Insider,Weak Passwords,Antivirus,59,895031.75
UK,2023,Malware,Banking,55.34,259176,Unknown,Unpatched Software,VPN,3,259231.34
China,2022,Man-in-the-Middle,Banking,12.36,987115,Unknown,Social Engineering,Encryption,55,987127.36
France,2022,DDoS,Healthcare,6.48,727601,Insider,Social Engineering,Encryption,50,727607.48
UK,2021,Phishing,Retail,56.53,542850,Nation-state,Zero-day,Antivirus,41,542906.53
India,2023,Ransomware,Education,41.15,352194,Nation-state,Unpatched Software,Firewall,10,352235.15
France,2019,Malware,Healthcare,39.83,571521,Nation-state,Weak Passwords,Antivirus,8,571560.83
Brazil,2023,SQL Injection,Healthcare,47.59,933271,Insider,Unpatched Software,Antivirus,30,933318.59
Brazil,2022,Phishing,Banking,98.06,884502,Insider,Unpatched Software,AI-based Detection,55,884600.06
China,2015,Ransomware,IT,57.27,762001,Nation-state,Social Engineering,VPN,67,762058.27
France,2016,DDoS,Government,82.49,351330,Nation-state,Weak Passwords,VPN,57,351412.49
Australia,2023,Malware,Healthcare,37.73,158107,Unknown,Unpatched Software,AI-based Detection,43,158144.73
USA,2016,SQL Injection,Government,77.45,632319,Unknown,Weak Passwords,AI-based Detection,47,632396.45
India,2017,DDoS,Government,75.52,352250,Insider,Zero-day,VPN,39,352325.52
France,2018,Ransomware,Telecommunications,11.28,504165,Hacker Group,Zero-day,AI-based Detection,55,504176.28
Brazil,2024,DDoS,Telecommunications,36.69,738981,Unknown,Social Engineering,VPN,45,739017.69
UK,2021,Ransomware,Banking,79.33,555527,Unknown,Unpatched Software,Firewall,33,555606.33
Russia,2019,SQL Injection,Banking,59.78,681856,Insider,Zero-day,VPN,52,681915.78
Germany,2024,DDoS,Retail,38.65,197609,Nation-state,Social Engineering,VPN,15,197647.65
USA,2018,Man-in-the-Middle,Banking,85.29,685291,Hacker Group,Social Engineering,Encryption,53,685376.29
Japan,2024,Ransomware,Retail,37.49,835730,Insider,Zero-day,VPN,14,835767.49
Germany,2016,Phishing,Education,48.57,907547,Unknown,Unpatched Software,Firewall,33,907595.57
France,2019,Phishing,Retail,3,298096,Unknown,Social Engineering,Firewall,16,298099
UK,2023,Phishing,Retail,33.06,18579,Unknown,Social Engineering,VPN,13,18612.06
UK,2021,Malware,Education,70.9,490771,Nation-state,Weak Passwords,Antivirus,70,490841.9
Germany,2020,Phishing,Healthcare,38.12,394577,Nation-state,Unpatched Software,Encryption,33,394615.12
India,2021,DDoS,Telecommunications,35.19,155426,Nation-state,Zero-day,Firewall,16,155461.19
Russia,2017,Ransomware,Education,88.9,444399,Insider,Zero-day,Encryption,38,444487.9
Japan,2015,Man-in-the-Middle,Healthcare,7.96,770028,Unknown,Unpatched Software,Firewall,58,770035.96
Brazil,2023,Ransomware,Retail,66.38,608520,Hacker Group,Zero-day,VPN,14,608586.38
Australia,2020,DDoS,Healthcare,91.45,471113,Hacker Group,Unpatched Software,AI-based Detection,71,471204.45
Germany,2015,Man-in-the-Middle,Retail,63.65,311253,Nation-state,Weak Passwords,AI-based Detection,36,311316.65
Brazil,2023,DDoS,IT,84.19,390409,Insider,Zero-day,AI-based Detection,31,390493.19
China,2015,SQL Injection,IT,28.35,604786,Unknown,Zero-day,VPN,34,604814.35
China,2024,SQL Injection,Government,84.23,568377,Unknown,Social Engineering,Antivirus,38,568461.23
Russia,2020,SQL Injection,Telecommunications,29.89,267678,Insider,Zero-day,AI-based Detection,13,267707.89
Australia,2020,Malware,Education,5.95,592485,Insider,Weak Passwords,Firewall,10,592490.95
